doc,type,topic,count
1,1156,28,23
1,1157,38,23
1,1158,25,23
1,1159,20,23
1,1160,38,23
1,1161,39,23
1,1162,14,23
1,1163,35,22
1,1164,20,22
1,1165,20,22
1,1166,6,22
1,1167,25,22
1,1168,16,22
1,1169,7,22
1,1170,38,22
1,1171,38,22
1,1172,2,22
1,1173,36,22
1,1174,20,22
1,1175,2,22
1,1176,20,22
1,1177,12,22
1,1178,6,22
1,1179,12,22
1,1180,39,22
1,1181,25,22
1,1182,22,22
1,1183,2,22
1,1184,8,22
1,1185,6,22
1,1186,25,22
1,1187,12,22
1,1188,28,22
1,1189,31,22
1,1190,2,22
1,1191,2,23
1,1192,2,22
1,1193,2,22
1,1194,39,22
1,1195,31,22
1,1196,20,22
1,1197,22,22
1,1198,16,22
1,1199,14,22
1,1200,38,22
1,1201,25,22
1,1202,29,22
1,1203,36,22
1,1204,6,22
1,1205,36,22
1,1206,25,22
1,1207,22,22
1,1208,2,21
1,1209,16,21
1,1210,17,21
1,1211,22,21
1,1212,32,21
1,1213,28,21
1,1214,20,21
1,1215,31,21
1,1216,28,21
1,1217,31,21
1,1218,32,21
1,1219,39,21
1,1220,31,21
1,1221,18,21
1,1222,7,21
1,1223,39,21
1,1224,16,21
1,1225,2,21
1,1226,35,21
1,1227,21,21
1,1228,7,21
1,1229,19,21
1,1230,7,21
1,1231,28,21
1,1232,39,21
1,1233,14,21
1,1234,38,28
1,1235,7,21
1,1236,31,21
1,1237,2,21
1,1238,14,21
1,1239,8,21
1,1240,36,21
1,1241,38,21
1,1242,22,21
1,1243,12,21
1,1244,29,21
1,1245,1,21
1,1246,22,21
1,1247,6,21
1,1248,32,21
1,1249,12,21
1,1250,36,21
1,1251,12,21
1,1252,2,21
1,1253,12,21
1,1254,16,20
1,1255,32,20
1,1256,20,20
1,1257,36,20
1,1258,6,20
1,1259,28,20
1,1260,29,20
1,1261,19,20
1,1262,22,20
1,1263,12,20
1,1264,12,20
1,1265,6,20
1,1266,29,20
1,1267,12,20
1,1268,29,20
1,1269,36,20
1,1270,16,20
1,1271,2,20
1,1272,34,20
1,1273,35,20
1,1274,15,20
1,1275,20,20
1,1276,31,20
1,1277,39,20
1,1278,31,20
1,1279,22,20
1,1280,16,20
1,1281,36,20
1,1282,22,20
1,1283,20,20
1,1284,28,20
1,1285,16,20
1,1286,20,20
1,1287,28,20
1,1288,12,20
1,1289,29,20
1,1290,38,20
1,1291,8,20
1,1292,29,20
1,1293,32,20
1,1294,29,20
1,1295,35,20
1,1296,32,20
1,1297,20,20
1,1298,6,20
1,1299,7,20
1,1300,14,22
1,1301,29,20
1,1302,7,20
1,1303,35,20
1,1304,19,20
1,1305,12,20
1,1306,36,20
1,1307,39,20
1,1308,7,20
1,1309,12,23
1,1310,31,20
1,1311,35,20
1,1312,35,20
1,1313,39,20
1,1314,14,20
1,1315,16,20
1,1316,6,19
1,1317,36,19
1,1318,39,19
1,1319,29,19
1,1320,22,19
1,1321,19,19
1,1322,36,19
1,1323,2,19
1,1324,35,19
1,1325,31,19
1,1326,6,19
1,1327,35,19
1,1328,29,19
1,1329,2,19
1,1330,20,19
1,1331,2,19
1,1332,20,19
1,1333,2,19
1,1334,16,19
1,1335,31,19
1,1336,2,19
1,1337,17,19
1,1338,36,19
1,1339,16,19
1,1340,22,19
1,1341,35,19
1,1342,14,19
1,1343,6,19
1,1344,6,19
1,1345,11,19
1,1346,21,19
1,1347,38,19
1,1348,35,19
1,1349,16,19
1,1350,8,19
1,1351,22,19
1,1352,29,19
1,1353,39,19
1,1354,29,19
1,1355,32,19
1,1356,38,19
1,1357,12,19
1,1358,8,19
1,1359,38,19
1,1360,7,19
1,1361,38,19
1,1362,31,19
1,1363,20,19
1,1364,6,19
1,1365,2,19
1,1366,28,19
1,1367,12,19
1,1368,38,19
1,1369,39,19
1,1370,14,19
1,1371,29,19
1,1372,29,19
1,1373,8,19
1,1374,38,19
1,1375,16,19
1,1376,32,19
1,1377,29,19
1,1378,12,19
1,1379,29,19
1,1380,22,19
1,1381,34,19
1,1382,29,19
1,1383,20,19
1,1384,25,18
1,1385,29,18
1,1386,7,18
1,1387,17,18
1,1388,31,18
1,1389,38,18
1,1390,2,18
1,1391,2,18
1,1392,33,18
1,1393,14,18
1,1394,16,18
1,1395,2,19
1,1396,39,18
1,1397,16,18
1,1398,38,18
1,1399,38,18
1,1400,39,35
1,1401,36,21
1,1402,3,18
1,1403,29,18
1,1404,35,18
1,1405,39,18
1,1406,6,18
1,1407,12,18
1,1408,2,18
1,1409,2,18
1,1410,39,18
1,1411,38,18
1,1412,36,18
1,1413,8,18
1,1414,2,18
1,1415,2,18
1,1416,7,18
1,1417,29,18
1,1418,39,18
1,1419,31,18
1,1420,14,18
1,1421,36,18
1,1422,22,18
1,1423,6,18
1,1424,38,18
1,1425,28,18
1,1426,19,18
1,1427,2,18
1,1428,38,18
1,1429,34,18
1,1430,28,18
1,1431,2,18
1,1432,16,18
1,1433,10,18
1,1434,29,18
1,1435,39,18
1,1436,12,18
1,1437,34,18
1,1438,22,18
1,1439,20,18
1,1440,2,18
1,1441,2,18
1,1442,29,18
1,1443,34,18
1,1444,39,18
1,1445,36,18
1,1446,17,19
1,1447,28,18
1,1448,39,18
1,1449,39,18
1,1450,12,18
1,1451,2,18
1,1452,36,18
1,1453,16,18
1,1454,8,18
1,1455,12,18
1,1456,38,18
1,1457,12,17
1,1458,38,17
1,1459,20,17
1,1460,29,17
1,1461,14,17
1,1462,15,17
1,1463,19,17
1,1464,39,17
1,1465,36,17
1,1466,2,17
1,1467,12,17
1,1468,2,17
1,1469,34,17
1,1470,22,17
1,1471,12,17
1,1472,32,17
1,1473,6,17
1,1474,35,21
1,1475,14,17
1,1476,14,17
1,1477,17,17
1,1478,17,17
1,1479,15,17
1,1480,8,17
1,1481,35,17
1,1482,35,17
1,1483,8,17
1,1484,8,17
1,1485,2,17
1,1486,31,17
1,1487,39,17
1,1488,20,17
1,1489,6,17
1,1490,28,17
1,1491,8,17
1,1492,2,17
1,1493,39,17
1,1494,38,17
1,1495,6,17
1,1496,7,17
1,1497,15,17
1,1498,28,17
1,1499,12,17
1,1500,2,17
1,1501,24,17
1,1502,29,17
1,1503,8,17
1,1504,28,17
1,1505,12,17
1,1506,6,17
1,1507,7,17
1,1508,18,17
1,1509,39,17
1,1510,39,17
1,1511,6,17
1,1512,38,17
1,1513,15,17
1,1514,29,17
1,1515,8,17
1,1516,12,17
1,1517,14,17
1,1518,25,17
1,1519,22,17
1,1520,29,17
1,1521,36,17
1,1522,31,17
1,1523,36,17
1,1524,12,17
1,1525,25,17
1,1526,22,17
1,1527,19,17
1,1528,39,17
1,1529,6,17
1,1530,8,17
1,1531,25,17
1,1532,2,17
1,1533,2,17
1,1534,28,17
1,1535,39,16
1,1536,18,16
1,1537,20,16
1,1538,23,16
1,1539,7,16
1,1540,12,16
1,1541,25,16
1,1542,20,16
1,1543,39,16
1,1544,31,16
1,1545,6,16
1,1546,31,16
1,1547,34,16
1,1548,38,16
1,1549,34,16
1,1550,35,16
1,1551,29,16
1,1552,29,16
1,1553,38,16
1,1554,16,17
1,1555,31,16
1,1556,38,16
1,1557,16,16
1,1558,16,16
1,1559,12,16
1,1560,22,16
1,1561,2,16
1,1562,15,16
1,1563,35,16
1,1564,36,16
1,1565,35,16
1,1566,38,16
1,1567,39,16
1,1568,31,16
1,1569,16,16
1,1570,6,16
1,1571,35,16
1,1572,29,16
1,1573,3,16
1,1574,12,16
1,1575,34,16
1,1576,16,16
1,1577,2,16
1,1578,15,16
1,1579,39,16
1,1580,36,16
1,1581,31,16
1,1582,29,16
1,1583,20,16
1,1584,16,16
1,1585,35,16
1,1586,20,16
1,1587,12,16
1,1588,35,22
1,1589,39,16
1,1590,7,16
1,1591,19,16
1,1592,36,16
1,1593,35,16
1,1594,2,16
1,1595,2,16
1,1596,7,16
1,1597,38,16
1,1598,14,16
1,1599,8,16
1,1600,38,16
